"team","player","role","batting_hand","bowling_hand","bowling_style","foreign_player","is_captain","value","uncapped_player","bowling_points_fandromeda","batting_points_fandromeda","overall_points_fandromeda","innings","avg_bowling_points_overall","avg_batting_points_overall","avg_points_overall","avg_bowling_points_overall_fandromeda","avg_batting_points_overall_fandromeda","avg_points_overall_fandromeda","vfm_index","bowling_speed"
"Gujarat Lions","SS Agarwal","All-rounder","Right-handed","Right-arm","Leg Spin",0,0,60,1,20,0,20,1,16,0,16,20,0,20,0.266666666666667,"Spin"
"Gujarat Lions","Tejas Baroka","Batsman","Right-handed","Right-arm","Leg Spin",0,0,60,1,4.5,0,4.5,1,11,0,11,4.5,0,4.5,0.183333333333333,"Spin"
"Rising Pune Supergiant","LH Ferguson","Bowler","Right-handed","Right-arm","Fast",1,0,60,0,143,1,144,2,49,1,49.5,71.5,1,72,0.825,"Fast"
"Royal Challengers Bangalore","Sachin Baby","Batsman","Left-handed","Right-arm","Off Spin",0,0,60,1,0,-1,-1,2,0,1.5,1.5,0,-0.5,-0.5,0.025,"Spin"
"Gujarat Lions","AD Nath","All-rounder","Right-handed","Right-arm","Medium Pace",0,0,65,1,0,-6,-6,1,0,-5,-5,0,-6,-6,-0.0769230769230769,"Medium"
"Gujarat Lions","Basil Thampi","Bowler","Right-handed","Right-arm","Medium Fast",0,0,65,1,260,31,291,9,28.6666666666667,9,33.6666666666667,28.8888888888889,6.2,32.3333333333333,0.517948717948718,"Fast"
"Rising Pune Supergiant","SN Thakur","Bowler","Right-handed","Right-arm","Medium Pace",0,0,65,1,204.5,-12,192.5,7,29.8571428571429,-5,28.4285714285714,29.2142857142857,-6,27.5,0.437362637362637,"Medium"
"Kolkata Knight Riders","AS Rajpoot","Bowler","Right-handed","Right-arm","Medium Pace",0,0,65,1,84,0,84,1,95,0,95,84,0,84,1.46153846153846,"Medium"
"Mumbai Indians","N Rana","Batsman","Left-handed","Right-arm","Off Spin",0,0,65,1,0,497,547,10,0,45.1,50.1,0,49.7,54.7,0.770769230769231,"Spin"
"Rising Pune Supergiant","Ankit Sharma","All-rounder","Left-handed","Left-arm","Orthodox Spin",0,0,65,1,-6,44,38,1,-14,47,33,-6,44,38,0.507692307692308,"Spin"
"Rising Pune Supergiant","DL Chahar","Bowler","Right-handed","Right-arm","Medium Pace",0,0,65,1,20,26,46,3,5.33333333333333,33,16.3333333333333,6.66666666666667,26,15.3333333333333,0.251282051282051,"Medium"
"Rising Pune Supergiant","RA Tripathi","Batsman","Right-handed","Right-arm","Medium Pace",0,0,65,1,-3,617,639,9,-10,61,62.6666666666667,-3,68.5555555555556,71,0.964102564102564,"Medium"
"Royal Challengers Bangalore","Iqbal Abdulla","Bowler","Left-handed","Left-arm","Orthodox Spin",0,0,65,1,39,3,42,2,24.5,5,27,19.5,3,21,0.415384615384615,"Spin"
"Royal Challengers Bangalore","B Stanlake","Bowler","Left-handed","Right-arm","Fast",1,0,65,0,69,0,69,2,32.5,0,32.5,34.5,0,34.5,0.5,"Fast"
"Sunrisers Hyderabad","S Kaul","Bowler","Right-handed","Right-arm","Medium Fast",0,0,65,1,236,0,236,6,41.5,0,41.5,39.3333333333333,0,39.3333333333333,0.638461538461538,"Fast"
"Sunrisers Hyderabad","Bipul Sharma","All-rounder","Left-handed","Left-arm","Orthodox Spin",0,0,65,1,105,32,137,5,21.4,33,28,21,32,27.4,0.430769230769231,"Spin"
"Sunrisers Hyderabad","V Shankar","All-rounder","Right-handed","Right-arm","Off Spin",0,0,65,1,0,0,0,1,0,1,1,0,0,0,0.0153846153846154,"Spin"
"Sunrisers Hyderabad","Mohammed Siraj","Bowler","Right-handed","Right-arm","Medium Fast",0,0,65,1,168,0,168,4,43,0,43,42,0,42,0.661538461538462,"Fast"
"Gujarat Lions","AJ Tye","All-rounder","Right-handed","Right-arm","Medium Fast",1,0,70,0,468,92,560,6,70.3333333333333,31.3333333333333,86,78,30.6666666666667,93.3333333333333,1.22857142857143,"Fast"
"Gujarat Lions","PJ Sangwan","Bowler","Right-handed","Left-arm","Medium Fast",0,0,70,1,51,0,51,1,63,1,64,51,0,51,0.914285714285714,"Fast"
"Gujarat Lions","S Kaushik","Bowler","Right-handed","Left-arm","Chinaman",0,0,70,1,21,0,21,3,8.33333333333333,0,8.33333333333333,7,0,7,0.119047619047619,"Spin"
"Kings XI Punjab","Anureet Singh","Bowler","Right-handed","Right-arm","Medium Pace",0,0,70,1,-6,20,14,1,-13,20,7,-6,20,14,0.1,"Medium"
"Kings XI Punjab","KC Cariappa","Bowler","Right-handed","Right-arm","Leg Spin",0,0,70,1,127,-3,124,4,30.75,1,31.25,31.75,-1.5,31,0.446428571428571,"Spin"
"Kings XI Punjab","Swapnil Singh","All-rounder","Right-handed","Left-arm","Orthodox Spin",0,0,70,1,27,0,27,2,11.5,0,11.5,13.5,0,13.5,0.164285714285714,"Spin"
"Kings XI Punjab","T Natarajan","Bowler","Left-handed","Left-arm","Medium Fast",0,0,70,1,93,0,93,4,18.25,0,18.25,23.25,0,23.25,0.260714285714286,"Fast"
"Rising Pune Supergiant","AB Dinda","Bowler","Right-handed","Right-arm","Medium Fast",0,0,70,0,9.5,8,17.5,3,6.66666666666667,7,9,3.16666666666667,8,5.83333333333333,0.128571428571429,"Fast"
"Rising Pune Supergiant","RD Chahar","Bowler","Right-handed","Right-arm","Leg Spin",0,0,70,1,64,4,68,2,34.5,3,36,32,4,34,0.514285714285714,"Spin"
"Royal Challengers Bangalore","Mandeep Singh","All-rounder","Right-handed","Right-arm","Medium Pace",0,0,70,1,0,95,95,8,0,12.75,12.75,0,11.875,11.875,0.182142857142857,"Medium"
"Royal Challengers Bangalore","A Choudhary","Bowler","Right-handed","Left-arm","Medium Fast",0,0,70,1,43,31,74,3,14,14,23.3333333333333,14.3333333333333,15.5,24.6666666666667,0.333333333333333,"Fast"
"Delhi Daredevils","AP Tare","Wicketkeeper batsman","Right-handed","0","0",0,0,75,1,0,11,11,3,0,6,6,0,3.66666666666667,3.66666666666667,0.08,"Medium"
"Gujarat Lions","Ishan Kishan","Wicketkeeper batsman","Left-handed","0","0",0,0,75,1,0,234,234,6,0,35.8333333333333,35.8333333333333,0,39,39,0.477777777777778,"Medium"
