"ipl_edition","match_date","home_team","away_team","match_number_total","match_number_season"
1,2008-04-18,"Royal Challengers Bangalore","Kolkata Knight Riders",1,1
1,2008-04-19,"Kings XI Punjab","Chennai Super Kings",2,2
1,2008-04-19,"Delhi Daredevils","Rajasthan Royals",3,3
1,2008-04-20,"Mumbai Indians","Royal Challengers Bangalore",4,4
1,2008-04-20,"Kolkata Knight Riders","Deccan Chargers",5,5
1,2008-04-21,"Rajasthan Royals","Kings XI Punjab",6,6
1,2008-04-22,"Deccan Chargers","Delhi Daredevils",7,7
1,2008-04-23,"Chennai Super Kings","Mumbai Indians",8,8
1,2008-04-24,"Deccan Chargers","Rajasthan Royals",9,9
1,2008-04-25,"Kings XI Punjab","Mumbai Indians",10,10
1,2008-04-26,"Royal Challengers Bangalore","Rajasthan Royals",11,11
1,2008-04-26,"Chennai Super Kings","Kolkata Knight Riders",12,12
1,2008-04-27,"Mumbai Indians","Deccan Chargers",13,13
1,2008-04-27,"Kings XI Punjab","Delhi Daredevils",14,14
1,2008-04-28,"Royal Challengers Bangalore","Chennai Super Kings",15,15
1,2008-04-29,"Kolkata Knight Riders","Mumbai Indians",16,16
1,2008-04-30,"Delhi Daredevils","Royal Challengers Bangalore",17,17
1,2008-05-01,"Deccan Chargers","Kings XI Punjab",18,18
1,2008-05-01,"Rajasthan Royals","Kolkata Knight Riders",19,19
1,2008-05-02,"Chennai Super Kings","Delhi Daredevils",20,20
1,2008-05-25,"Deccan Chargers","Royal Challengers Bangalore",50,50
1,2008-05-03,"Kings XI Punjab","Kolkata Knight Riders",21,21
1,2008-05-04,"Mumbai Indians","Delhi Daredevils",23,23
1,2008-05-04,"Rajasthan Royals","Chennai Super Kings",24,24
1,2008-05-05,"Royal Challengers Bangalore","Kings XI Punjab",25,25
1,2008-05-06,"Chennai Super Kings","Deccan Chargers",26,26
1,2008-05-07,"Mumbai Indians","Rajasthan Royals",27,27
1,2008-05-08,"Delhi Daredevils","Chennai Super Kings",28,28
1,2008-05-08,"Kolkata Knight Riders","Royal Challengers Bangalore",29,29
1,2008-05-09,"Rajasthan Royals","Deccan Chargers",30,30
1,2008-05-28,"Royal Challengers Bangalore","Mumbai Indians",54,54
1,2008-05-10,"Chennai Super Kings","Kings XI Punjab",31,31
1,2008-05-11,"Deccan Chargers","Kolkata Knight Riders",32,32
1,2008-05-11,"Rajasthan Royals","Delhi Daredevils",33,33
1,2008-05-12,"Kings XI Punjab","Royal Challengers Bangalore",34,34
1,2008-05-13,"Kolkata Knight Riders","Delhi Daredevils",35,35
1,2008-05-14,"Mumbai Indians","Chennai Super Kings",36,36
1,2008-05-28,"Kings XI Punjab","Rajasthan Royals",55,55
1,2008-05-15,"Delhi Daredevils","Deccan Chargers",37,37
1,2008-05-16,"Mumbai Indians","Kolkata Knight Riders",38,38
1,2008-05-17,"Delhi Daredevils","Kings XI Punjab",39,39
1,2008-05-17,"Rajasthan Royals","Royal Challengers Bangalore",40,40
1,2008-05-18,"Deccan Chargers","Mumbai Indians",41,41
1,2008-05-18,"Kolkata Knight Riders","Chennai Super Kings",42,42
1,2008-05-19,"Royal Challengers Bangalore","Delhi Daredevils",43,43
1,2008-05-20,"Kolkata Knight Riders","Rajasthan Royals",44,44
1,2008-05-21,"Mumbai Indians","Kings XI Punjab",45,45
1,2008-05-21,"Chennai Super Kings","Royal Challengers Bangalore",46,46
1,2008-05-23,"Kings XI Punjab","Deccan Chargers",47,47
1,2008-05-24,"Delhi Daredevils","Mumbai Indians",48,48
1,2008-05-24,"Chennai Super Kings","Rajasthan Royals",49,49
1,2008-05-03,"Royal Challengers Bangalore","Deccan Chargers",22,22
1,2008-05-25,"Kolkata Knight Riders","Kings XI Punjab",51,51
1,2008-05-26,"Rajasthan Royals","Mumbai Indians",52,52
1,2008-05-27,"Deccan Chargers","Chennai Super Kings",53,53
1,2008-05-30,"Delhi Daredevils","Rajasthan Royals",56,56
1,2008-05-31,"Chennai Super Kings","Kings XI Punjab",57,57
1,2008-06-01,"Chennai Super Kings","Rajasthan Royals",58,58
2,2009-04-18,"Chennai Super Kings","Mumbai Indians",59,1
2,2009-04-18,"Royal Challengers Bangalore","Rajasthan Royals",60,2
2,2009-04-19,"Delhi Daredevils","Kings XI Punjab",61,3
2,2009-04-19,"Deccan Chargers","Kolkata Knight Riders",62,4
2,2009-04-20,"Royal Challengers Bangalore","Chennai Super Kings",63,5
2,2009-04-21,"Kings XI Punjab","Kolkata Knight Riders",64,6
2,2009-04-22,"Royal Challengers Bangalore","Deccan Chargers",65,7
2,2009-04-23,"Chennai Super Kings","Delhi Daredevils",66,8
2,2009-04-23,"Kolkata Knight Riders","Rajasthan Royals",67,9
2,2009-04-24,"Royal Challengers Bangalore","Kings XI Punjab",68,10
2,2009-04-25,"Deccan Chargers","Mumbai Indians",69,11
2,2009-04-26,"Royal Challengers Bangalore","Delhi Daredevils",70,12
2,2009-04-26,"Kings XI Punjab","Rajasthan Royals",71,13
2,2009-04-27,"Chennai Super Kings","Deccan Chargers",72,14
2,2009-04-27,"Kolkata Knight Riders","Mumbai Indians",73,15
2,2009-04-28,"Delhi Daredevils","Rajasthan Royals",74,16
2,2009-04-29,"Royal Challengers Bangalore","Kolkata Knight Riders",75,17
2,2009-04-29,"Kings XI Punjab","Mumbai Indians",76,18
2,2009-04-30,"Deccan Chargers","Delhi Daredevils",77,19
2,2009-04-30,"Chennai Super Kings","Rajasthan Royals",78,20
2,2009-05-01,"Kolkata Knight Riders","Mumbai Indians",79,21
2,2009-05-01,"Royal Challengers Bangalore","Kings XI Punjab",80,22
2,2009-05-02,"Deccan Chargers","Rajasthan Royals",81,23
2,2009-05-02,"Chennai Super Kings","Delhi Daredevils",82,24
2,2009-05-03,"Kings XI Punjab","Kolkata Knight Riders",83,25
2,2009-05-03,"Royal Challengers Bangalore","Mumbai Indians",84,26
2,2009-05-04,"Chennai Super Kings","Deccan Chargers",85,27
2,2009-05-05,"Kings XI Punjab","Rajasthan Royals",86,28
