day,date,time,match_no,match,city,home_team,away_team
Saturday,9.4.16,8.00 PM,1,Mumbai Indians vs Rising Pune Supergiants,Mumbai,Mumbai Indians,Rising Pune Supergiants
Sunday,10.4.46,8.00 PM,2,Kolkata Knight Riders vs Delhi Daredevils,Kolkata,Kolkata Knight Riders,Delhi Daredevils
Monday,11.4.16,8.00 PM,3,Kings XI Punjab vs Gujarat Lions,Mohali,Kings XI Punjab,Gujarat Lions
Tuesday,12.4.16,8.00 PM,4,Royal Challengers Bangalore vs Sunrisers Hyderabad,Bengaluru,Royal Challengers Bangalore,Sunrisers Hyderabad
Wednesday,13.4.16,8.00 PM,5,Kolkata Knight Riders vs Mumbai Indians,Kolkata,Kolkata Knight Riders,Mumbai Indians
Thursday,14.4.16,8.00 PM,6,Gujarat Lions vs Rising Pune Supergiants,Rajkot,Gujarat Lions,Rising Pune Supergiants
Friday,15.4.16,8.00 PM,7,Delhi Daredevils vs Kings XI Punjab,Delhi,Delhi Daredevils,Kings XI Punjab
Saturday,16.4.16,4.00 PM,8,Sunrisers Hyderabad vs Kolkata Knight Riders,Hyderabad,Sunrisers Hyderabad,Kolkata Knight Riders
Saturday,16.4.16,8.00 PM,9,Mumbai Indians vs Gujarat Lions,Mumbai,Mumbai Indians,Gujarat Lions
Sunday,17.4.16,4.00 PM,10,Kings XI Punjab vs Rising Pune Supergiants,Mohali,Kings XI Punjab,Rising Pune Supergiants
Sunday,17.4.16,8.00 PM,11,Royal Challengers Bangalore vs Delhi Daredevils,Bengaluru,Royal Challengers Bangalore,Delhi Daredevils
Monday,18.4.16,8.00 PM,12,Sunrisers Hyderabad vs Mumbai Indians,Hyderabad,Sunrisers Hyderabad,Mumbai Indians
Tuesday,19.4.16,8.00 PM,13,Kings XI Punjab vs Kolkata Knight Riders,Mohali,Kings XI Punjab,Kolkata Knight Riders
Wednesday,20.4.16,8.00 PM,14,Mumbai Indians vs Royal Challengers Bangalore,Mumbai,Mumbai Indians,Royal Challengers Bangalore
Thursday,21.4.16,8.00 PM,15,Gujarat Lions vs Sunrisers Hyderabad,Rajkot,Gujarat Lions,Sunrisers Hyderabad
Friday,22.4.16,8.00 PM,16,Rising Pune Supergiants vs Royal Challengers Bangalore,Pune,Rising Pune Supergiants,Royal Challengers Bangalore
