Team,Player,Role,Batting Hand,Bowling Hand,Bowling Style,Foreign Player,Is Captain
Delhi Daredevils,Z Khan,Bowler,Right-handed,Left-arm,Medium Fast,0,1
Delhi Daredevils,JP Duminy,All-rounder,Left-handed,Right-arm,Off Spin,1,0
Delhi Daredevils,Mohammed Shami,Bowler,Right-handed,Right-arm,Fast,0,0
Delhi Daredevils,Q de Kock,Wicketkeeper batsman,Left-handed,,,1,0
Delhi Daredevils,S Nadeem,Bowler,Left-handed,Left-arm,Orthodox Spin,0,0
Delhi Daredevils,J Yadav,Bowler,Right-handed,Right-arm,Off Spin,0,0
Delhi Daredevils,A Mishra,Bowler,Right-handed,Right-arm,Leg Spin,0,0
Delhi Daredevils,SS Iyer,Batsman,Right-handed,Right-arm,Off Spin,0,0
Delhi Daredevils,Sam Billings,Wicketkeeper batsman,Right-handed,,,1,0
Delhi Daredevils,SV Samson,Wicketkeeper batsman,Right-handed,,,0,0
Delhi Daredevils,CH Morris,All-rounder,Right-handed,Right-arm,Medium Fast,1,0
Delhi Daredevils,CR Brathwaite,All-rounder,Right-handed,Right-arm,Medium Pace,1,0
Delhi Daredevils,KK Nair,Batsman,Right-handed,Right-arm,Off Spin,0,0
Delhi Daredevils,RR Pant,Wicketkeeper batsman,Left-handed,,,0,0
Delhi Daredevils,CV Milind, , ,,,0,0
Delhi Daredevils,Khaleel Ahmed,Bowler,Right-handed,Left-arm,Medium Pace,0,0
Delhi Daredevils,Pratyush Singh,Batsman,Right-handed,Right-arm,Leg Spin,0,0
Delhi Daredevils,Kagiso Rabada,Bowler,Right-handed,Right-arm,Medium Fast,1,0
Delhi Daredevils,PJ Cummins,Bowler,Right-handed,Right-arm,Fast,1,0
Delhi Daredevils,AD Mathews,All-rounder,Right-handed,Right-arm,Medium Pace,1,0
Delhi Daredevils,CJ Anderson,All-rounder,Left-handed,Left-arm,Medium Fast,1,0
Delhi Daredevils,M Ashwin,Bowler,Right-handed,Right-arm,Leg Spin,0,0
Delhi Daredevils,AP Tare,Wicketkeeper batsman,Right-handed,,,0,0
Delhi Daredevils,Shashank Singh, , ,,,0,0
Delhi Daredevils,Ankit Bawne, , ,,,0,0
Delhi Daredevils,Navdeep Saini,Bowler,Right-handed,Right-arm,Medium Fast,0,0
Gujarat Lions,SK Raina,Batsman,Left-handed,Right-arm,Off Spin,0,1
Gujarat Lions,RA Jadeja,All-rounder,Left-handed,Left-arm,Orthodox Spin,0,0
Gujarat Lions,JP Faulkner,All-rounder,Right-handed,Left-arm,Medium Fast,1,0
