action,points,points_type
per_run,1,batting
per_six,2,batting
bonus_25_runs,10,batting
duck_except_bowlers,-5,batting
strike_rate: 0-74.99,-15,batting
strike_rate:75-99.99,-10,batting
strike_rate: 100-149.99,5,batting
strike_rate: 150-199.99,10,batting
strike_rate: 200+,15,batting
per_wicket,20,bowling
bonus_additional_wicket,10,bowling
dot_ball,1,bowling
maiden,20,bowling
economy_rate: 0-5.00,15,bowling
economy_rate: 5.01-8.00,10,bowling
economy_rate: 8.01-10.00,5,bowling
economy_rate: 10.01-12.00,-10,bowling
economy_rate: 12.01+,-15,bowling
per_catch,10,fielding
per_stumping,15,fielding
per_run_out,10,fielding
man_of_the_match,30,bonus
group_stage_win,5,bonus
knockout_win,10,bonus
